"weight";"word";"color";"url"
"1386";"code";"";""
"1132";"patches";"";""
"1088";"repair";"";""
"1004";"bugs";"";""
"975";"bug";"";""
"932";"software";"";""
"918";"patch";"";""
"834";"program";"";""
"828";"apr";"";""
"627";"patterns";"";""
"612";"fix";"";""
"519";"localization";"";""
"497";"engineering";"";""
"461";"tools";"";""
"453";"change";"";""
"452";"test";"";""
"430";"buggy";"";""
"427";"method";"";""
"423";"fault";"";""
"382";"study";"";""
"368";"automated";"";""
"339";"systems";"";""
"333";"cases";"";""
"320";"actions";"";""
"316";"defects4j";"";""
"308";"performance";"";""
"295";"search";"";""
"293";"correct";"";""
"286";"number";"";""
"269";"analysis";"";""
"259";"ﬁx";"";""
"250";"based";"";""
"248";"tool";"";""
"246";"different";"";""
"242";"generation";"";""
"241";"changes";"";""
"240";"statement";"";""
"234";"results";"";""
"229";"research";"";""
"227";"approach";"";""
"225";"pattern";"";""
"223";"fixed";"";""
"223";"names";"";""
"221";"literature";"";""
"219";"donor";"";""
"212";"data";"";""
"209";"reports";"";""
"207";"information";"";""
"196";"generated";"";""
"196";"techniques";"";""
"193";"java";"";""
"191";"dataset";"";""
"176";"learning";"";""
"174";"plausible";"";""
"173";"space";"";""
"171";"example";"";""
"171";"report";"";""
"170";"expression";"";""
"169";"source";"";""
"163";"time";"";""
"162";"empirical";"";""
"157";"ast";"";""
"157";"statements";"";""
"156";"similar";"";""
"155";"approaches";"";""
"154";"edit";"";""
"154";"using";"";""
"153";"developers";"";""
"149";"mining";"";""
"148";"available";"";""
"148";"locations";"";""
"148";"programs";"";""
"147";"avatar";"";""
"147";"testing";"";""
"144";"state-of-the-art";"";""
"143";"fixminer";"";""
"142";"benchmark";"";""
"140";"relevant";"";""
"139";"automatic";"";""
"138";"tbar";"";""
"137";"set";"";""
"134";"suspicious";"";""
"134";"use";"";""
"132";"static";"";""
"130";"correctly";"";""
"128";"correctness";"";""
"126";"system";"";""
"121";"generate";"";""
"121";"name";"";""
"120";"fixing";"";""
"120";"similarity";"";""
"118";"proposed";"";""
"118";"simfix";"";""
"117";"methods";"";""
"117";"types";"";""
"116";"studies";"";""
"115";"ﬁxed";"";""
"113";"projects";"";""
"111";"tree";"";""
"109";"action";"";""
"109";"associated";"";""
"109";"found";"";""
"108";"related";"";""
"108";"reported";"";""
"106";"process";"";""
"105";"impact";"";""
"104";"list";"";""
"103";"efficiency";"";""
"103";"investigate";"";""
"102";"incorrect";"";""
"102";"node";"";""
"101";"project";"";""
"100";"semantic";"";""
"100";"single";"";""
"98";"comparison";"";""
"97";"evaluation";"";""
"96";"applied";"";""
"95";"commits";"";""
"95";"model";"";""
"93";"type";"";""
"92";"developer";"";""
"92";"linux";"";""
"91";"level";"";""
"91";"operator";"";""
"90";"line";"";""
"89";"community";"";""
"89";"operators";"";""
"89";"programming";"";""
"87";"evolution";"";""
"86";"case";"";""
"86";"vector";"";""
"85";"context";"";""
"85";"tokens";"";""
"85";"training";"";""
"82";"candidates";"";""
"82";"files";"";""
"82";"step";"";""
"82";"terms";"";""
"81";"assessment";"";""
"81";"provide";"";""
"79";"experiments";"";""
"78";"identify";"";""
"78";"input";"";""
"78";"operations";"";""
"78";"version";"";""
"77";"focus";"";""
"77";"scores";"";""
"76";"validity";"";""
"75";"commit";"";""
"75";"ifixr";"";""
"75";"representation";"";""
"75";"technique";"";""
"74";"common";"";""
"74";"metric";"";""
"72";"automatically";"";""
"72";"fixes";"";""
"72";"history";"";""
"72";"kpar";"";""
"71";"language";"";""
"71";"lines";"";""
"71";"strategy";"";""
"70";"assess";"";""
"70";"inconsistent";"";""
"69";"foundations";"";""
"68";"expressions";"";""
"67";"entities";"";""
"67";"fragments";"";""
"67";"models";"";""
"66";"implementation";"";""
"66";"large";"";""
"66";"ranking";"";""
"66";"scripts";"";""
"66";"validation";"";""
"66";"violations";"";""
"65";"deep";"";""
"65";"faulty";"";""
"65";"future";"";""
"65";"location";"";""
"64";"detection";"";""
"64";"features";"";""
"64";"gzoltar";"";""
"64";"real-world";"";""
"63";"token";"";""
"62";"development";"";""
"62";"effective";"";""
"62";"experiment";"";""
"62";"metrics";"";""
"60";"gumtree";"";""
"60";"implemented";"";""
"60";"ranked";"";""
"59";"body";"";""
"59";"granularity";"";""
"59";"manually";"";""
"59";"ﬁxing";"";""
"58";"build";"";""
"58";"experimental";"";""
"57";"accuracy";"";""
"57";"embedding";"";""
"57";"file";"";""
"57";"improve";"";""
"56";"debugging";"";""
"56";"null";"";""
"56";"par";"";""
"56";"return";"";""
"55";"combination";"";""
"55";"include";"";""
"55";"nopol";"";""
"55";"patched";"";""
"55";"representations";"";""
"55";"rich";"";""
"55";"suite";"";""
"55";"value";"";""
"54";"bert";"";""
"54";"overfitting";"";""
"54";"script";"";""
"54";"vectors";"";""
"53";"distribution";"";""
"53";"localized";"";""
"53";"matching";"";""
"53";"mined";"";""
"53";"natural";"";""
"53";"specific";"";""
"52";"class";"";""
"52";"embeddings";"";""
"52";"execution";"";""
"52";"issue";"";""
"52";"maintenance";"";""
"52";"repositories";"";""
"52";"threat";"";""
"52";"update";"";""
"51";"review";"";""
"50";"bias";"";""
"50";"lsrepair";"";""
"50";"nodes";"";""
"50";"statistics";"";""
"50";"variable";"";""
"49";"abstract";"";""
"49";"collected";"";""
"49";"digbug";"";""
"49";"hdrepair";"";""
"49";"kernel";"";""
"49";"map";"";""
"49";"ochiai";"";""
"49";"practice";"";""
"49";"presented";"";""
"49";"templates";"";""
"48";"attributes";"";""
"48";"conditional";"";""
"48";"distributions";"";""
"48";"joint";"";""
"48";"lead";"";""
"48";"show";"";""
"48";"values";"";""
"48";"yves";"";""
"47";"capgen";"";""
"47";"effectiveness";"";""
"47";"elixir";"";""
"47";"includes";"";""
"47";"manual";"";""
"47";"particular";"";""
"47";"questions";"";""
"47";"researchers";"";""
"47";"strategies";"";""
"47";"tion";"";""
"47";"towards";"";""
"46";"algorithm";"";""
"46";"candidate";"";""
"46";"check";"";""
"46";"cid:27)x";"";""
"46";"meeting";"";""
"46";"mrr";"";""
"46";"softw";"";""
"46";"threats";"";""
"46";"violation";"";""
"45";"china";"";""
"45";"consistent";"";""
"45";"empir";"";""
"45";"evaluating";"";""
"45";"identifying";"";""
"45";"index";"";""
"45";"mutate";"";""
"45";"order";"";""
